,Clean_Rating,Clean_Review,Time
616,4.0 out of 5 stars,Good,29 November 2018
617,1.0 out of 5 stars,Very bad quality of cloth,4 July 2018
618,3.0 out of 5 stars,Ok types,4 May 2017
619,4.0 out of 5 stars,I'm really satisfied with the product,3 October 2017
620,2.0 out of 5 stars,Not,8 September 2018
621,5.0 out of 5 stars,Perfect!!,2 May 2018
622,1.0 out of 5 stars,Bad product,4 October 2018
623,4.0 out of 5 stars,,14 April 2018
624,5.0 out of 5 stars,Supab nice t-shart,18 August 2018
625,5.0 out of 5 stars,Thats good,12 January 2019
626,3.0 out of 5 stars,Seems okay to me,23 October 2018
627,1.0 out of 5 stars,Quality is so poor,31 December 2018
628,5.0 out of 5 stars,It is totally good,26 February 2019
629,1.0 out of 5 stars,Worst fit &amp; poor quality,22 October 2018
630,4.0 out of 5 stars,not for summer,23 January 2018
631,5.0 out of 5 stars,Ok,13 March 2019
632,5.0 out of 5 stars,Achha hai,22 April 2018
633,5.0 out of 5 stars,Perfect,23 October 2018
634,4.0 out of 5 stars,Take one size small,7 December 2017
635,4.0 out of 5 stars,Very nice product,30 December 2018
636,5.0 out of 5 stars,Very good quality,15 June 2018
637,5.0 out of 5 stars,I love it,13 March 2019
638,4.0 out of 5 stars,Clothing,15 November 2018
639,4.0 out of 5 stars,nice quality,3 March 2017
640,5.0 out of 5 stars,worth every penny....,24 October 2018
641,4.0 out of 5 stars,i'd say this is one of the best product i ever ordered from Amazonworth buying it,16 February 2017
642,4.0 out of 5 stars,tee and design is good,8 July 2017
643,5.0 out of 5 stars,Nice Quality at this price,14 September 2018
644,5.0 out of 5 stars,Awesome,29 January 2019
645,5.0 out of 5 stars,Best but size problem I want x-small,2 January 2017
646,4.0 out of 5 stars,Nice one,27 November 2018
647,4.0 out of 5 stars,I'll buy again,15 August 2018
648,4.0 out of 5 stars,Best,26 October 2018
649,3.0 out of 5 stars,Only normal nice,4 August 2018
650,5.0 out of 5 stars,Great,16 October 2018
651,5.0 out of 5 stars,A great tshirt,15 December 2017
652,4.0 out of 5 stars,I like it,12 November 2018
653,4.0 out of 5 stars,It is good.,19 April 2017
654,4.0 out of 5 stars,Perfect fit.Product is as shown in the pic.,6 February 2017
655,4.0 out of 5 stars,It’s fit as expected,14 October 2018
656,5.0 out of 5 stars,Nice quality.,13 March 2019
657,5.0 out of 5 stars,Looks good....quality is also good,9 November 2017
658,4.0 out of 5 stars,Good product. Received earlier than my expect. It fits as expected.,1 July 2017
659,5.0 out of 5 stars,Fast delivery....perfect fit....nice fabric,27 January 2017
660,4.0 out of 5 stars,Outstanding Tshirt,4 July 2018
661,4.0 out of 5 stars,Nice,19 June 2018
662,4.0 out of 5 stars,Neck is too short,31 October 2018
663,5.0 out of 5 stars,nice product,7 December 2018
664,3.0 out of 5 stars,good,23 November 2018
665,4.0 out of 5 stars,Good,25 August 2018
666,5.0 out of 5 stars,so nice,14 March 2017
667,5.0 out of 5 stars,Good quality,13 December 2018
668,5.0 out of 5 stars,Nice product,5 March 2019
669,5.0 out of 5 stars,Good product,16 February 2019
670,5.0 out of 5 stars,I feel happy,29 March 2019
671,5.0 out of 5 stars,nice quality,19 February 2019
672,1.0 out of 5 stars,It's too bad,29 January 2019
673,1.0 out of 5 stars,Poor quality,6 October 2018
674,5.0 out of 5 stars,Product quality is just awesome ...,28 December 2016
675,4.0 out of 5 stars,Fabric worth the cost.,20 May 2017
676,5.0 out of 5 stars,A good one.,22 August 2018
677,1.0 out of 5 stars,Bad product,11 August 2018
678,4.0 out of 5 stars,It's look &amp; quality was very nice,4 July 2017
679,1.0 out of 5 stars,Very bed product Do not buy,24 October 2017
680,1.0 out of 5 stars,Not good quality,4 July 2018
681,2.0 out of 5 stars,Grey colour is too light. Not looking nice,21 June 2017
682,5.0 out of 5 stars,Nice and awsm tshrt... i love it...,15 April 2017
683,3.0 out of 5 stars,This product is good,7 October 2017
684,3.0 out of 5 stars,Fit is bad,19 December 2018
685,3.0 out of 5 stars,Overall good deal ..stuff..size...all good..,13 October 2016
686,5.0 out of 5 stars,Very good,27 December 2018
687,5.0 out of 5 stars,Its good and looks nice..i buyed small size...,8 December 2017
688,2.0 out of 5 stars,quality is very low. not worthy to pay 380,2 August 2017
689,5.0 out of 5 stars,Good one,23 November 2018
690,4.0 out of 5 stars,The quality is good..,8 May 2018
691,5.0 out of 5 stars,T-shirt is really very good.... I suggest to go for it....,1 August 2017
692,5.0 out of 5 stars,looks great!,10 January 2017
693,3.0 out of 5 stars,ok...ok product,31 August 2017
694,5.0 out of 5 stars,Goods,27 October 2018
695,1.0 out of 5 stars,Poor quality cloth material,26 May 2017
696,4.0 out of 5 stars,Very comfortable ... As expected,12 December 2016
697,5.0 out of 5 stars,Awesome !!,23 July 2018
698,5.0 out of 5 stars,Perfect,28 March 2019
699,5.0 out of 5 stars,Perfect,4 January 2019
700,5.0 out of 5 stars,Perfect,1 March 2019
701,5.0 out of 5 stars,Super,28 June 2018
702,5.0 out of 5 stars,"Super,",25 December 2017
703,5.0 out of 5 stars,Cloth good,9 September 2018
704,1.0 out of 5 stars,Not as expected,8 June 2018
705,4.0 out of 5 stars,Good product,21 October 2018
706,5.0 out of 5 stars,Grtt fiting...,6 October 2018
707,5.0 out of 5 stars,Good quality,28 June 2018
708,2.0 out of 5 stars,Not comfortable.,3 October 2017
709,2.0 out of 5 stars,It fits and comfortable,2 December 2017
710,5.0 out of 5 stars,very nice to wear. worth for money,10 September 2017
711,5.0 out of 5 stars,Super,22 March 2019
712,5.0 out of 5 stars,Nice,20 June 2018
713,3.0 out of 5 stars,Nice Tshirt,18 October 2018
714,5.0 out of 5 stars,Like,14 January 2019
715,5.0 out of 5 stars,Good,19 December 2018
716,4.0 out of 5 stars,Good,23 March 2019
717,5.0 out of 5 stars,good,16 December 2018
718,5.0 out of 5 stars,like,8 February 2019
719,5.0 out of 5 stars,Best,30 January 2019
720,4.0 out of 5 stars,mast,8 January 2019
721,5.0 out of 5 stars,Jus go for it. Worth of every penny.,14 June 2017
722,4.0 out of 5 stars,I like this,8 October 2018
723,5.0 out of 5 stars,Best Product .Worth Buying😊,25 December 2017
724,4.0 out of 5 stars,Nice Good fit,19 April 2017
725,5.0 out of 5 stars,Good quality product,8 April 2018
726,1.0 out of 5 stars,Low quality,5 October 2018
727,4.0 out of 5 stars,good quality,2 April 2018
728,5.0 out of 5 stars,Very good,28 October 2017
729,4.0 out of 5 stars,Good one,21 January 2017
730,1.0 out of 5 stars,Not genuine,26 January 2018
731,1.0 out of 5 stars,Cloth is good but they have not a great looking,8 October 2017
732,4.0 out of 5 stars,"perfect fit , nice fabric , don't think go for it.",23 June 2017
733,3.0 out of 5 stars,good,12 July 2017
734,4.0 out of 5 stars,Good product,13 June 2018
735,3.0 out of 5 stars,Not bad,19 February 2018
736,4.0 out of 5 stars,Amazing product. Worth the money,6 June 2017
737,3.0 out of 5 stars,I think it's a good product.,22 November 2017
738,4.0 out of 5 stars,Good,22 October 2018
739,5.0 out of 5 stars,The product was really good and meet the expectations,19 June 2017
740,5.0 out of 5 stars,GOOD PRODUCT AT CHEAP PRICE,2 May 2018
741,4.0 out of 5 stars,After 3 wash also fitting and quality is still good.,24 June 2017
742,5.0 out of 5 stars,Perfect product... Excellent,23 October 2017
743,5.0 out of 5 stars,Good one thanks,29 January 2018
744,5.0 out of 5 stars,awsm,11 October 2018
745,5.0 out of 5 stars,Hmm ra8,9 June 2017
746,5.0 out of 5 stars,👍,29 June 2018
747,5.0 out of 5 stars,Mastt,5 June 2018
748,5.0 out of 5 stars,Good,11 February 2018
749,5.0 out of 5 stars,Superb T-shirt .fit and comfortGood material n Gud Product,7 March 2017
750,4.0 out of 5 stars,Very good...But not extraordinary quality...,24 June 2017
751,5.0 out of 5 stars,Good,8 September 2018
752,5.0 out of 5 stars,Love it,20 February 2017
753,4.0 out of 5 stars,good product,27 July 2018
754,4.0 out of 5 stars,Satisfied☺,26 June 2017
755,5.0 out of 5 stars,Good t shirt fabric is also good,2 September 2017
756,5.0 out of 5 stars,awsm fit,4 April 2018
757,5.0 out of 5 stars,Good product nice colour.,28 August 2017
758,5.0 out of 5 stars,Best fitting t shirt,30 November 2017
759,5.0 out of 5 stars,Great deal!Its same as shown :),19 May 2017
760,5.0 out of 5 stars,Awsm,12 September 2018
761,3.0 out of 5 stars,Quality is not as expected,3 February 2017
762,5.0 out of 5 stars,Nice fit with pretty nice look,25 February 2017
763,5.0 out of 5 stars,Good,15 June 2018
764,5.0 out of 5 stars,COOOL,5 May 2018
765,5.0 out of 5 stars,nice,5 January 2017
766,4.0 out of 5 stars,Nice product.its looking good...,9 October 2017
767,4.0 out of 5 stars,Very good fabric quality,16 March 2017
768,3.0 out of 5 stars,Color is too light,17 March 2017
769,5.0 out of 5 stars,very good fitting,16 November 2017
770,4.0 out of 5 stars,Quite an awesome product liked it very much!,20 June 2017
771,5.0 out of 5 stars,Awesome,1 March 2017
772,2.0 out of 5 stars,bad,6 July 2017
773,4.0 out of 5 stars,nice stuff,11 November 2016
774,5.0 out of 5 stars,Bst ever.......!,18 September 2017
775,1.0 out of 5 stars,No quality for the product,28 October 2017
776,1.0 out of 5 stars,It's cheap quality,27 December 2017
777,2.0 out of 5 stars,poor quality. not worth the price,1 July 2017
778,5.0 out of 5 stars,good product,13 April 2017
779,5.0 out of 5 stars,It is very good for me,22 November 2017
780,2.0 out of 5 stars,Poor products,17 July 2017
781,5.0 out of 5 stars,Very nice,15 May 2018
782,5.0 out of 5 stars,Fantastic👌😊,12 January 2018
783,3.0 out of 5 stars,Nice product..just size problem,18 December 2017
784,5.0 out of 5 stars,Superb,6 March 2017
785,5.0 out of 5 stars,I like it,1 February 2018
786,5.0 out of 5 stars,"Im 5'5 70kgs. Ordered Size S, perfect fit.",9 January 2017
787,5.0 out of 5 stars,nice colour and perfect fitting,1 December 2016
788,1.0 out of 5 stars,The product is defected. In the front side cut it,19 March 2017
789,1.0 out of 5 stars,Quality is not good,8 November 2017
790,4.0 out of 5 stars,Its good .,14 January 2018
791,4.0 out of 5 stars,Best Product and Best Colour..,21 August 2017
792,5.0 out of 5 stars,Good,19 February 2018
793,5.0 out of 5 stars,Nice t shirt,9 October 2017
794,1.0 out of 5 stars,Bad product..,3 December 2017
795,5.0 out of 5 stars,Nice tshirt,14 February 2017
796,5.0 out of 5 stars,Great one really nice,20 September 2017
797,4.0 out of 5 stars,Good product,4 December 2017
798,4.0 out of 5 stars,It's good and comfortable,15 September 2017
799,4.0 out of 5 stars,Quality is good,26 June 2017
800,4.0 out of 5 stars,NYC Shir looking good,10 July 2017
801,5.0 out of 5 stars,"L is perfect for my size 34chest &amp; 5.6""",11 March 2017
802,1.0 out of 5 stars,Defective product,26 July 2017
803,4.0 out of 5 stars,Awesome fit and very light cloth made of 100% cotton,24 April 2017
804,5.0 out of 5 stars,Too good,25 November 2017
805,4.0 out of 5 stars,Good productNicely deaignedLooks great,27 December 2016
806,5.0 out of 5 stars,Loved the quality and the look.,14 January 2017
807,5.0 out of 5 stars,Great product,8 October 2017
808,5.0 out of 5 stars,Super b,15 December 2017
809,3.0 out of 5 stars,Nice,11 December 2017
810,5.0 out of 5 stars,Awesome,17 September 2017
811,5.0 out of 5 stars,Nice i love it,23 September 2017
812,2.0 out of 5 stars,Vry Vry gud,8 October 2017
813,5.0 out of 5 stars,Excellent,15 October 2017
814,4.0 out of 5 stars,Nice product nd comfortable..,5 May 2017
815,1.0 out of 5 stars,Worst Quality...,15 August 2017
816,5.0 out of 5 stars,Excellent product,16 January 2017
817,5.0 out of 5 stars,Good one,27 July 2017
818,3.0 out of 5 stars,Good,22 February 2017
819,5.0 out of 5 stars,Material is fine and I love this pdt.,31 January 2017
820,5.0 out of 5 stars,It was nice,22 April 2017
821,5.0 out of 5 stars,Nice Quality Product,5 June 2017
822,4.0 out of 5 stars,Great fit.,9 February 2017
823,4.0 out of 5 stars,Excellent product..,20 March 2017
824,1.0 out of 5 stars,bad quality,16 May 2017
825,5.0 out of 5 stars,Its Good Quality and Perfect feeting,19 December 2016
826,5.0 out of 5 stars,Its good,21 September 2017
827,5.0 out of 5 stars,Good enough,7 July 2017
828,4.0 out of 5 stars,Good,22 February 2017
829,5.0 out of 5 stars,Perfect fit,2 July 2017
830,2.0 out of 5 stars,Cloth is gud but size not correct,30 December 2016
831,5.0 out of 5 stars,Nice quality fitting perfectly,10 January 2017
832,4.0 out of 5 stars,Awesome fitting....,22 March 2017
833,5.0 out of 5 stars,Nice product,14 March 2017
834,5.0 out of 5 stars,good shirt,29 June 2017
835,5.0 out of 5 stars,good product for summer,3 February 2017
836,1.0 out of 5 stars,I got damaged T-shirt,5 July 2017
837,4.0 out of 5 stars,thik-thak thi,10 April 2017
838,1.0 out of 5 stars,Very large t shirt,28 February 2017
839,3.0 out of 5 stars,Nice and comfortable t shirt,27 February 2017
840,1.0 out of 5 stars,Third class,10 February 2017
841,4.0 out of 5 stars,Yaàa loved it.....,10 February 2017
842,4.0 out of 5 stars,That is nice,8 March 2017
843,4.0 out of 5 stars,Good one,3 February 2017
844,5.0 out of 5 stars,Good one. ..,7 March 2017
845,5.0 out of 5 stars,nice product.,22 December 2016
846,5.0 out of 5 stars,Nice product,28 February 2017
847,5.0 out of 5 stars,Awesome...,11 March 2017
848,1.0 out of 5 stars,Poor stuff,2 January 2017
849,4.0 out of 5 stars,Nice product,11 February 2017
850,5.0 out of 5 stars,Good Product.,16 January 2017
851,5.0 out of 5 stars,Thanks,5 January 2017
852,5.0 out of 5 stars,Worth It,21 February 2017
853,4.0 out of 5 stars,Good,25 February 2017
854,5.0 out of 5 stars,Nice..!!,20 December 2016
855,5.0 out of 5 stars,Excellent,7 December 2016
856,4.0 out of 5 stars,It's getting fit too wellvalue for money,28 April 2017
857,1.0 out of 5 stars,"It is soft cotton material ,but i dont like it much. Sewing quality is bad.The seller is delivering this product through private courier , so you can't return this item. You have to return this item by your own. I can get better t shirt in road side with 300 rupees. I want my money back which is 389+30=419 rupees.",4 July 2017
858,4.0 out of 5 stars,Fabric and stitching is not Up to mark...... Simple and Fabulous T-shirt...,23 April 2018
859,5.0 out of 5 stars,Looking gud,4 February 2017
860,5.0 out of 5 stars,I would say a very good value for money product. The material is not very thick and should not expect the same as it costs just 360 Rs. The fit is perfectly fine and the cloth is also very soft. I would definitely buy another provided there are some other design. Perfect for a winter-ware.,31 December 2016
861,1.0 out of 5 stars,"First of all, I received the wrong size and it is too large. The tshirt is covered in lint and does not new at all. The color would fade easily as well.",7 July 2017
862,5.0 out of 5 stars,"I just loved the color, it fits just as expected, you can check size guide for this and place order. Very good t shirt , worth the price.",28 July 2017
863,5.0 out of 5 stars,"Had some doubt about quality while buying, as price was considerably low. But it's fantastic 👌 Amazing . Worth buying .Strong Recommend😊",7 December 2016
864,4.0 out of 5 stars,EDIT: This review is for the BLUE tee not the black oneI ordered the black and blue tee. The colour is more of a Teal colour and is not blue like shown in the images so please note that if it's a big deal to you. I ordered a medium but received a small instead and didn't want to go through the process of returning the item since at that time I was busy and the fit seemed nice. It is a slim fit and sticks to your body so if you're out of shape this probably won't be a good idea. Also the collar is tight as compared to other t-shirts. The quality is good for 350 bucks,11 January 2017
865,3.0 out of 5 stars,the quality of the cloth is somewhat poor......,16 February 2017
866,4.0 out of 5 stars,"I have bought 2 t-shirts at almost same price but different ones.This is far better than other one coz it's fitting is pretty good and metrial is also good. Same t-shirts I tried at shop nearby,was very expressive but on Amazon I got it on half price which matters a lot.Guys I m 6""1 tall guy if you are tall same as I m then go for Large .Without any doubt. go for it""",23 June 2017
867,4.0 out of 5 stars,I love wearing long sleeve tshirts and this one made me happy like most others. I was a bit worried about the quality but I must say the quality is really good for the price. It is easy on the skin. My only advice is make sure you wash it gently using mild detergents. It will last long trust me.Cheeers to Amazon for a timely delivery.,13 December 2016
868,5.0 out of 5 stars,"It's been 2 years since i bought it. Here's my previous review. - This is the best sweatshirt i have ever seen in my entire life. I am 17 years old and a thin guy. I am 6 feet tall and i ordered a ""large"" size. The shoulders look damm sexy in this sweatshirt. i would love to have another in a different color. fitting is perfect it would only suit tall guys ranging from 5 9' and above. It is made for all weathers. i would really recommend this to every one. and one for thing the delivery is very fast. I am from HP and it came just after 3 days. Love you amazon. take it take it take it.",23 July 2017
869,2.0 out of 5 stars,"when 1st time i bear , on that time it was awesome fitting was absolutely perfect but after 1st wast it's looking should be rough. all the sinning has lost after 1 wash &amp; become unfit on my body it became lt of loose. so overall material which used to prepare this t shirt was bad.",27 February 2017
870,4.0 out of 5 stars,Good shirt and material. Fits well.The color is as shown in the pictures. Only a small issue with the delivery process which was quickly solved with the Amazon support team. Otherwise a great product.,3 April 2017
871,5.0 out of 5 stars,Awesome cloth... I chosen bcoz my love has same shirt with same color... It's really awesome and cool... Love you amazon...,4 September 2017
872,5.0 out of 5 stars,"I received product delivery before deadline, packing was nice, t-shirt material is also nice n soft. I love this Tee, best in price.",10 May 2017
873,5.0 out of 5 stars,product as described prompt delivery,18 March 2017
874,4.0 out of 5 stars,Got in ₹380.My Weight is 54kg and height 5.8Mene M size liya but thoda large hai.S leta to badiya rahta (perfect fit)Doesn't metter.Delivery bahut jaldi ho gai.Best buy katso brandThank you amazon.,4 October 2017
875,2.0 out of 5 stars,Unexpected fitting,25 September 2017
876,5.0 out of 5 stars,Very good product super quality fitted just right thanks to Amazon to bring such a great product at cheap price,2 April 2017
877,5.0 out of 5 stars,Value for money. Excellent service arrived much before the expected date. Quality is very good,28 January 2017
878,1.0 out of 5 stars,The fit is fine. But the material doesnt feel like 100% cotton even though that's the claim. It's not something I'd wear in any month other than Dec given that I live in Mumbai,5 March 2017
879,1.0 out of 5 stars,check tshierts properly there are holes on the black material this is sadak chhap material.Dont buy it .You can buy same tshirts on road for 50 rs,22 August 2017
880,2.0 out of 5 stars,Fabric is good. Design is really cool but had to return bcos the size was small than usual. Get a size higher than you usually do!!!,15 January 2017
881,5.0 out of 5 stars,Nice shirt!,18 March 2017
882,5.0 out of 5 stars,the product is grt. keep up the grt job katso.,15 October 2016
883,5.0 out of 5 stars,Nice colour good material,3 April 2017
884,3.0 out of 5 stars,reasonable quality,19 January 2017
885,3.0 out of 5 stars,Fitting is good but man the neck part is too high and its choking my neck.I am thinking of stretching it a bit from that part to loosen it up.If it doesn't work I'll return it if option is available.,30 May 2017
886,5.0 out of 5 stars,Over all good...fit as expected!thanks Amazon,24 November 2016
887,3.0 out of 5 stars,Okkk,29 January 2017
888,4.0 out of 5 stars,Nice tshirt.,9 January 2017
889,3.0 out of 5 stars,T-shirt was little torn on the neck.Material is not good.Improve the quality.,15 April 2017
890,5.0 out of 5 stars,"Goood , now i look hero after wearing this t shirt",31 March 2017
891,3.0 out of 5 stars,Overall size is good jus the material is not up to the mark.,5 November 2016
892,4.0 out of 5 stars,Great Product.The colors are good and the Fit is nice.,26 January 2017
893,5.0 out of 5 stars,Just loved it. I was not expecting it to be so cool and fit. It's like my personal designer has designed it for me,2 March 2017
894,1.0 out of 5 stars,Wrong colour..I have ordered black and grey. But I got black and white,29 October 2016
895,5.0 out of 5 stars,Awsome t-shirt... i was scared about material and fitness but it is much much loved one than expected...Thank you amazon,6 February 2017
896,4.0 out of 5 stars,T is good but the style was not as expected in the pictures.....i ordered small though i will give 4star,2 May 2017
897,5.0 out of 5 stars,It's too gud more than that I excepted!!Quality of product is too gud ___👍👍👍👍,30 May 2017
898,1.0 out of 5 stars,WorseDon't ever buy,26 June 2017
899,4.0 out of 5 stars,I got it on time... it was simply awesome.. and good looking..,10 January 2017
900,4.0 out of 5 stars,Nic T-shirt ...stylish ..n fitting,7 February 2017
901,5.0 out of 5 stars,Value for money,1 June 2017
902,5.0 out of 5 stars,Super quality.perfect size .awesome product,26 January 2017
903,1.0 out of 5 stars,Quality is very cheap nd fitting is not good,5 December 2016
904,2.0 out of 5 stars,Length of the t-shirt got altered by sides after two washes.,16 April 2017
905,1.0 out of 5 stars,Zero star for it.. Very poor so large and there is a hol,11 April 2017
906,4.0 out of 5 stars,Nice shirt looks and quality wise,18 March 2017
907,5.0 out of 5 stars,It's cool!,4 March 2017
908,4.0 out of 5 stars,Nice and good quality colth,6 March 2017
909,5.0 out of 5 stars,Good Buy.,4 June 2017
910,1.0 out of 5 stars,No shop,11 January 2017
911,4.0 out of 5 stars,Good,28 April 2017
912,5.0 out of 5 stars,Its awesome,6 February 2017
913,1.0 out of 5 stars,Not good it is totally wrost item,10 January 2017
914,2.0 out of 5 stars,Not a renowned company and quality is not good at all,20 April 2017
915,5.0 out of 5 stars,Colour and Size all was exactly what i selected in the order. No colour fading after wash neither it shrinks remains same as it was received. Trust me it looks good a new love for the Brand KATSO. Thumbs up !👍,11 May 2018
916,1.0 out of 5 stars,The size is too small that it is very tight at the neck and arms didn't go inside the sleeve. Also the Tshirt j received had some stains in it . You have to order next size ..meaning if M in other brands u should buy L in it,17 August 2018
917,1.0 out of 5 stars,I just clicked on the bridge colour. The next i sec i was shocked. It looks like someone has drawn the t-shirt and filled colour in ms paint. :D now am totally upset on unable to look at how the bridge colour looks :'( Katso Men's Cotton Roundneck T-shirt,14 February 2018
918,5.0 out of 5 stars,T shirt is of good quality. M satisfied for the given money,26 August 2018
919,5.0 out of 5 stars,I can't rcv it. So no resposne by me. Hoping good product this . I order it next times .,11 January 2019
920,5.0 out of 5 stars,"ordered Small size liked the material, in this price. the material is very good.i will say to have go if anybody wants to go for it..",26 June 2017
921,5.0 out of 5 stars,""" Awesome Fitting, Superb Look &amp; Rich Feel Product. ""Worth to buy in this price, THANKS amazon...!!!",22 January 2017
922,5.0 out of 5 stars,The best t-shirt ever on Amazon. The material is also good. Fitting is best. I liked it a lot. Worth it.,23 February 2019
923,3.0 out of 5 stars,"I got the wrong color. I had ordered a grey color,but got dark grey.",21 April 2018
924,1.0 out of 5 stars,Fit around neck gets loose in few days. Also fit around fore arms is not tight.. Bend marks are visible when we fold,24 March 2019
925,5.0 out of 5 stars,Great product. My husband loves it. Thank you Amazon#kasto,17 October 2018
926,5.0 out of 5 stars,"Good t-shirt👌🏻. Quality is also good. It was delivered on time 👍🏻. Overall, worth the money. Goes well with jeans.",7 February 2019
927,5.0 out of 5 stars,Nyc product....comfort wear looking great,18 October 2018
928,4.0 out of 5 stars,"Good fabric ,looks cool after wear design is good little bit neck small length of the tshirt is good .",23 October 2018
929,5.0 out of 5 stars,"Good fit as expected,in love with fitting and colour.",6 June 2017
930,4.0 out of 5 stars,"Good quality,perfect fitting",21 October 2018
931,5.0 out of 5 stars,Nice product ...good material...with that price,18 October 2018
932,4.0 out of 5 stars,Good one go for it,29 October 2016
933,4.0 out of 5 stars,Very good fitting value for money you can buy it,28 July 2018
934,5.0 out of 5 stars,Amazing tshirt ❤️,8 August 2018
935,4.0 out of 5 stars,good quality of clothAnd fitting is also perfect,11 November 2017
936,4.0 out of 5 stars,Very nice product,2 August 2018
937,5.0 out of 5 stars,"Awesome, Had my doubt but will recommend buying.",5 July 2017
938,2.0 out of 5 stars,The size guide wasn't very helpful.! Had to get it exchanged for a larger size.!,25 April 2017
939,5.0 out of 5 stars,Owsm color.,19 January 2018
940,5.0 out of 5 stars,"very good product 100%cotton, nice fit",10 December 2017
941,2.0 out of 5 stars,The Quality is not worth for cost..,6 September 2017
942,1.0 out of 5 stars,Very bad quality,18 March 2018
943,1.0 out of 5 stars,"Worst, Worst, Worst, toooo worst.....",9 November 2017
944,4.0 out of 5 stars,Good product nice fitting,15 November 2017
945,5.0 out of 5 stars,Excellent work by amazon,20 August 2017
946,4.0 out of 5 stars,Was a good product.,9 September 2017
947,1.0 out of 5 stars,Worst,28 May 2017
948,1.0 out of 5 stars,Ok sort.,5 May 2017
949,5.0 out of 5 stars,looks decent,30 December 2016
950,3.0 out of 5 stars,Best ever product nice fabric has used in this t shirt and comfort level also more,4 April 2018
951,2.0 out of 5 stars,Collor is going,27 August 2017
952,5.0 out of 5 stars,Material is gud,25 October 2018
953,5.0 out of 5 stars,Good look,23 January 2018
954,4.0 out of 5 stars,Nice,29 October 2018
955,4.0 out of 5 stars,"Good fabric, comfortable.",18 October 2018
956,5.0 out of 5 stars,Amazing product ❤️ I ordered 4 more T-shirts for my friends,9 October 2018
